Event,Fabric,Color,Style_Persona,Micro_Climate,Suitability_Score,Match_Status
Pola/Market,Polyester,Emerald Green,Bold,Indoor (AC),0.5,0
Beach Party,Georgette,Black,Bold,Indoor (AC),0.45,0
Dinner Gala,Viscose,White,Minimalist,Outdoor (Humid),0.19,0
Corporate Meeting,Viscose,White,Professional,Outdoor (Humid),0.57,0
Pola/Market,Polyester,Maroon,Professional,Indoor (AC),0.36,0
Temple Visit,Viscose,Earth Tone,Professional,Outdoor (Humid),0.35,0
Pola/Market,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.18,0
Dinner Gala,Georgette,Navy Blue,Professional,Outdoor (Humid),0.83,1
Beach Party,Cotton,Earth Tone,Professional,Indoor (AC),0.35,0
Gym/Workout,Georgette,Black,Minimalist,Indoor (AC),0.42,0
Corporate Meeting,Silk,White,Bold,Outdoor (Humid),0.25,0
Corporate Meeting,Georgette,Maroon,Bold,Outdoor (Humid),0.15,0
Gym/Workout,Polyester,Black,Minimalist,Outdoor (Humid),0.2,0
Corporate Meeting,Linen,Earth Tone,Bold,Indoor (AC),0.21,0
Traditional Wedding,Polyester,Navy Blue,Minimalist,Indoor (AC),0.29,0
Pola/Market,Silk,Earth Tone,Minimalist,Indoor (AC),0.47,0
Temple Visit,Georgette,Emerald Green,Minimalist,Outdoor (Humid),0.19,0
Traditional Wedding,Cotton,White,Bold,Outdoor (Humid),0.54,0
Gym/Workout,Georgette,White,Minimalist,Outdoor (Humid),0.43,0
Dinner Gala,Georgette,Earth Tone,Professional,Outdoor (Humid),0.82,1
Beach Party,Cotton,Emerald Green,Bold,Indoor (AC),0.22,0
Corporate Meeting,Viscose,Navy Blue,Professional,Indoor (AC),0.58,0
Traditional Wedding,Georgette,Emerald Green,Bold,Indoor (AC),0.6,0
Temple Visit,Silk,Earth Tone,Bold,Indoor (AC),0.47,0
Gym/Workout,Viscose,Maroon,Bold,Indoor (AC),0.46,0
Corporate Meeting,Silk,Maroon,Professional,Outdoor (Humid),0.58,0
Temple Visit,Viscose,Earth Tone,Professional,Indoor (AC),0.47,0
Traditional Wedding,Polyester,Earth Tone,Bold,Outdoor (Humid),0.25,0
Gym/Workout,Cotton,Black,Professional,Outdoor (Humid),0.5,0
Gym/Workout,Cotton,Emerald Green,Bold,Indoor (AC),0.11,0
Temple Visit,Viscose,Maroon,Professional,Indoor (AC),0.34,0
Traditional Wedding,Linen,Earth Tone,Professional,Outdoor (Humid),0.8,1
Gym/Workout,Linen,Black,Bold,Outdoor (Humid),0.74,0
Temple Visit,Georgette,Navy Blue,Bold,Indoor (AC),0.15,0
Gym/Workout,Polyester,Black,Bold,Indoor (AC),0.33,0
Corporate Meeting,Polyester,Earth Tone,Minimalist,Outdoor (Humid),0.28,0
Traditional Wedding,Linen,Maroon,Professional,Outdoor (Humid),0.69,0
Corporate Meeting,Silk,Earth Tone,Professional,Indoor (AC),0.72,0
Temple Visit,Linen,White,Bold,Outdoor (Humid),0.89,1
Pola/Market,Silk,Navy Blue,Bold,Outdoor (Humid),0.1,0
Beach Party,Viscose,Navy Blue,Bold,Indoor (AC),0.13,0
Gym/Workout,Linen,White,Minimalist,Indoor (AC),0.29,0
Corporate Meeting,Cotton,Navy Blue,Professional,Indoor (AC),0.43,0
Gym/Workout,Georgette,Earth Tone,Professional,Outdoor (Humid),0.16,0
Traditional Wedding,Viscose,White,Minimalist,Outdoor (Humid),0.12,0
Beach Party,Georgette,White,Minimalist,Indoor (AC),0.32,0
Traditional Wedding,Viscose,Earth Tone,Bold,Indoor (AC),0.33,0
Traditional Wedding,Polyester,White,Minimalist,Outdoor (Humid),0.35,0
Beach Party,Cotton,Maroon,Professional,Outdoor (Humid),0.74,0
Beach Party,Viscose,Black,Bold,Indoor (AC),0.22,0
Dinner Gala,Silk,Black,Bold,Indoor (AC),0.86,1
Temple Visit,Viscose,White,Bold,Indoor (AC),0.48,0
Beach Party,Viscose,Navy Blue,Bold,Indoor (AC),0.35,0
Temple Visit,Cotton,Black,Professional,Outdoor (Humid),0.77,1
Dinner Gala,Cotton,Black,Bold,Outdoor (Humid),0.6,0
Traditional Wedding,Linen,Earth Tone,Minimalist,Indoor (AC),0.3,0
Pola/Market,Cotton,Navy Blue,Bold,Outdoor (Humid),0.68,0
Beach Party,Silk,Maroon,Minimalist,Outdoor (Humid),0.12,0
Gym/Workout,Linen,Black,Minimalist,Indoor (AC),0.28,0
Beach Party,Silk,Earth Tone,Professional,Indoor (AC),0.59,0
Pola/Market,Linen,Maroon,Professional,Indoor (AC),0.48,0
Temple Visit,Cotton,Maroon,Professional,Outdoor (Humid),0.87,1
Corporate Meeting,Polyester,Black,Bold,Indoor (AC),0.2,0
Temple Visit,Polyester,Maroon,Professional,Indoor (AC),0.22,0
Dinner Gala,Cotton,Emerald Green,Bold,Outdoor (Humid),0.73,0
Temple Visit,Cotton,Navy Blue,Bold,Outdoor (Humid),0.72,0
Dinner Gala,Polyester,Navy Blue,Bold,Indoor (AC),0.39,0
Pola/Market,Polyester,Navy Blue,Professional,Indoor (AC),0.23,0
Gym/Workout,Viscose,Black,Professional,Indoor (AC),0.44,0
Gym/Workout,Georgette,Emerald Green,Bold,Indoor (AC),0.15,0
Beach Party,Georgette,Emerald Green,Bold,Indoor (AC),0.31,0
Pola/Market,Viscose,Black,Bold,Indoor (AC),0.26,0
Gym/Workout,Cotton,Navy Blue,Bold,Indoor (AC),0.28,0
Dinner Gala,Linen,Maroon,Minimalist,Outdoor (Humid),0.64,0
Pola/Market,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.7,0
Temple Visit,Georgette,White,Minimalist,Indoor (AC),0.13,0
Traditional Wedding,Polyester,Black,Bold,Outdoor (Humid),0.12,0
Pola/Market,Silk,Maroon,Professional,Outdoor (Humid),0.46,0
Beach Party,Linen,Maroon,Bold,Indoor (AC),0.45,0
Traditional Wedding,Cotton,Earth Tone,Professional,Outdoor (Humid),0.9,1
Gym/Workout,Georgette,White,Minimalist,Indoor (AC),0.47,0
Temple Visit,Silk,Emerald Green,Professional,Outdoor (Humid),0.25,0
Corporate Meeting,Polyester,Navy Blue,Bold,Indoor (AC),0.11,0
Dinner Gala,Silk,Maroon,Professional,Outdoor (Humid),0.88,1
Pola/Market,Viscose,White,Professional,Indoor (AC),0.5,0
Beach Party,Georgette,Earth Tone,Bold,Outdoor (Humid),0.22,0
Pola/Market,Silk,White,Minimalist,Indoor (AC),0.54,0
Temple Visit,Viscose,Earth Tone,Minimalist,Indoor (AC),0.37,0
Beach Party,Georgette,White,Minimalist,Indoor (AC),0.36,0
Temple Visit,Georgette,Navy Blue,Professional,Indoor (AC),0.41,0
Traditional Wedding,Cotton,Maroon,Professional,Outdoor (Humid),0.84,1
Traditional Wedding,Linen,Black,Professional,Indoor (AC),0.32,0
Gym/Workout,Linen,Earth Tone,Bold,Indoor (AC),0.29,0
Temple Visit,Viscose,Emerald Green,Professional,Indoor (AC),0.15,0
Traditional Wedding,Cotton,Earth Tone,Professional,Indoor (AC),0.49,0
Pola/Market,Cotton,Navy Blue,Bold,Outdoor (Humid),0.74,0
Traditional Wedding,Silk,Maroon,Professional,Indoor (AC),0.89,1
Traditional Wedding,Viscose,White,Minimalist,Outdoor (Humid),0.48,0
Pola/Market,Viscose,Emerald Green,Bold,Indoor (AC),0.33,0
Beach Party,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.62,0
Traditional Wedding,Polyester,White,Professional,Indoor (AC),0.49,0
Temple Visit,Silk,Earth Tone,Minimalist,Indoor (AC),0.54,0
Traditional Wedding,Georgette,White,Minimalist,Outdoor (Humid),0.79,1
Beach Party,Linen,Black,Bold,Outdoor (Humid),0.89,1
Dinner Gala,Georgette,Emerald Green,Professional,Outdoor (Humid),0.89,1
Temple Visit,Silk,White,Professional,Indoor (AC),0.7,0
Dinner Gala,Viscose,White,Professional,Indoor (AC),0.49,0
Corporate Meeting,Georgette,Navy Blue,Minimalist,Indoor (AC),0.4,0
Dinner Gala,Georgette,Navy Blue,Bold,Indoor (AC),0.8,1
Dinner Gala,Polyester,White,Professional,Outdoor (Humid),0.37,0
Traditional Wedding,Silk,Emerald Green,Minimalist,Outdoor (Humid),0.55,0
Gym/Workout,Silk,Maroon,Minimalist,Outdoor (Humid),0.11,0
Gym/Workout,Georgette,Earth Tone,Bold,Outdoor (Humid),0.42,0
Dinner Gala,Cotton,Maroon,Bold,Outdoor (Humid),0.71,0
Traditional Wedding,Polyester,White,Bold,Outdoor (Humid),0.28,0
Corporate Meeting,Georgette,Maroon,Professional,Indoor (AC),0.59,0
Dinner Gala,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.43,0
Dinner Gala,Linen,Black,Bold,Indoor (AC),0.14,0
Beach Party,Georgette,Emerald Green,Professional,Outdoor (Humid),0.16,0
Pola/Market,Cotton,Emerald Green,Bold,Indoor (AC),0.49,0
Temple Visit,Viscose,Navy Blue,Minimalist,Outdoor (Humid),0.44,0
Temple Visit,Polyester,Black,Professional,Indoor (AC),0.31,0
Traditional Wedding,Cotton,Emerald Green,Professional,Indoor (AC),0.42,0
Beach Party,Linen,Maroon,Minimalist,Outdoor (Humid),0.64,0
Beach Party,Cotton,White,Bold,Indoor (AC),0.31,0
Corporate Meeting,Viscose,White,Minimalist,Outdoor (Humid),0.3,0
Gym/Workout,Silk,Navy Blue,Bold,Indoor (AC),0.53,0
Corporate Meeting,Cotton,White,Professional,Outdoor (Humid),1.0,1
Beach Party,Cotton,White,Minimalist,Outdoor (Humid),0.79,1
Beach Party,Polyester,Black,Minimalist,Outdoor (Humid),0.17,0
Dinner Gala,Cotton,Black,Bold,Outdoor (Humid),0.9,1
Corporate Meeting,Silk,Maroon,Professional,Indoor (AC),0.77,1
Temple Visit,Cotton,Black,Minimalist,Outdoor (Humid),0.53,0
Corporate Meeting,Viscose,Black,Professional,Outdoor (Humid),0.43,0
Temple Visit,Viscose,Black,Minimalist,Indoor (AC),0.46,0
Corporate Meeting,Cotton,Navy Blue,Minimalist,Indoor (AC),0.2,0
Gym/Workout,Linen,Emerald Green,Professional,Indoor (AC),0.15,0
Dinner Gala,Cotton,Earth Tone,Professional,Outdoor (Humid),0.52,0
Traditional Wedding,Georgette,Navy Blue,Bold,Outdoor (Humid),0.51,0
Pola/Market,Georgette,Emerald Green,Bold,Indoor (AC),0.42,0
Gym/Workout,Cotton,Navy Blue,Minimalist,Indoor (AC),0.43,0
Traditional Wedding,Viscose,Navy Blue,Professional,Outdoor (Humid),0.31,0
Dinner Gala,Silk,Emerald Green,Bold,Outdoor (Humid),0.88,1
Pola/Market,Cotton,Earth Tone,Minimalist,Indoor (AC),0.35,0
Traditional Wedding,Cotton,Black,Professional,Indoor (AC),0.11,0
Pola/Market,Polyester,Maroon,Professional,Indoor (AC),0.34,0
Beach Party,Polyester,Maroon,Minimalist,Indoor (AC),0.39,0
Corporate Meeting,Viscose,White,Bold,Outdoor (Humid),0.11,0
Traditional Wedding,Polyester,Black,Bold,Outdoor (Humid),0.17,0
Traditional Wedding,Cotton,White,Bold,Outdoor (Humid),0.66,0
Pola/Market,Silk,Navy Blue,Bold,Indoor (AC),0.58,0
Traditional Wedding,Cotton,Emerald Green,Professional,Indoor (AC),0.42,0
Beach Party,Silk,Black,Professional,Indoor (AC),0.62,0
Gym/Workout,Viscose,Navy Blue,Minimalist,Outdoor (Humid),0.48,0
Temple Visit,Silk,White,Minimalist,Outdoor (Humid),0.3,0
Pola/Market,Silk,Black,Minimalist,Indoor (AC),0.44,0
Pola/Market,Linen,Earth Tone,Professional,Outdoor (Humid),0.89,1
Dinner Gala,Polyester,Black,Bold,Outdoor (Humid),0.15,0
Corporate Meeting,Georgette,Maroon,Professional,Outdoor (Humid),0.55,0
Temple Visit,Viscose,Earth Tone,Professional,Indoor (AC),0.34,0
Dinner Gala,Cotton,Earth Tone,Minimalist,Indoor (AC),0.34,0
Corporate Meeting,Viscose,Black,Professional,Outdoor (Humid),0.56,0
Corporate Meeting,Silk,Maroon,Professional,Outdoor (Humid),0.44,0
Pola/Market,Linen,Black,Minimalist,Outdoor (Humid),0.89,1
Traditional Wedding,Polyester,Maroon,Bold,Indoor (AC),0.23,0
Beach Party,Viscose,Emerald Green,Minimalist,Indoor (AC),0.3,0
Dinner Gala,Silk,Maroon,Bold,Indoor (AC),1.0,1
Traditional Wedding,Polyester,Black,Minimalist,Outdoor (Humid),0.39,0
Corporate Meeting,Silk,Black,Professional,Indoor (AC),0.9,1
Corporate Meeting,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.32,0
Traditional Wedding,Georgette,Earth Tone,Professional,Outdoor (Humid),0.58,0
Temple Visit,Linen,Maroon,Professional,Outdoor (Humid),0.5,0
Dinner Gala,Linen,Earth Tone,Professional,Outdoor (Humid),0.67,0
Beach Party,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.34,0
Corporate Meeting,Silk,Earth Tone,Professional,Outdoor (Humid),0.54,0
Corporate Meeting,Linen,White,Minimalist,Outdoor (Humid),0.62,0
Gym/Workout,Viscose,Earth Tone,Professional,Indoor (AC),0.26,0
Dinner Gala,Georgette,Maroon,Minimalist,Indoor (AC),0.85,1
Corporate Meeting,Georgette,Navy Blue,Minimalist,Indoor (AC),0.44,0
Pola/Market,Georgette,White,Professional,Outdoor (Humid),0.11,0
Pola/Market,Polyester,Navy Blue,Minimalist,Indoor (AC),0.45,0
Corporate Meeting,Cotton,Maroon,Bold,Indoor (AC),0.32,0
Temple Visit,Silk,Maroon,Minimalist,Indoor (AC),0.33,0
Dinner Gala,Georgette,Navy Blue,Minimalist,Indoor (AC),0.87,1
Temple Visit,Viscose,Maroon,Minimalist,Indoor (AC),0.21,0
Dinner Gala,Silk,Black,Bold,Indoor (AC),0.86,1
Gym/Workout,Silk,Maroon,Bold,Indoor (AC),0.55,0
Temple Visit,Polyester,Emerald Green,Minimalist,Indoor (AC),0.23,0
Beach Party,Georgette,Black,Bold,Indoor (AC),0.3,0
Beach Party,Cotton,White,Minimalist,Indoor (AC),0.36,0
Corporate Meeting,Georgette,Earth Tone,Minimalist,Indoor (AC),0.4,0
Gym/Workout,Cotton,Navy Blue,Professional,Indoor (AC),0.1,0
Dinner Gala,Cotton,Black,Minimalist,Indoor (AC),0.41,0
Gym/Workout,Georgette,Earth Tone,Minimalist,Indoor (AC),0.21,0
Traditional Wedding,Cotton,Emerald Green,Bold,Outdoor (Humid),0.76,1
Temple Visit,Viscose,Earth Tone,Professional,Outdoor (Humid),0.23,0
Beach Party,Cotton,Earth Tone,Bold,Outdoor (Humid),0.88,1
Beach Party,Silk,Maroon,Bold,Outdoor (Humid),0.13,0
Corporate Meeting,Cotton,Emerald Green,Bold,Outdoor (Humid),0.8,1
Gym/Workout,Georgette,Emerald Green,Bold,Indoor (AC),0.27,0
Pola/Market,Cotton,Navy Blue,Bold,Outdoor (Humid),0.83,1
Gym/Workout,Silk,Navy Blue,Professional,Outdoor (Humid),0.48,0
Temple Visit,Polyester,Black,Minimalist,Indoor (AC),0.32,0
Gym/Workout,Silk,Emerald Green,Bold,Outdoor (Humid),0.22,0
Temple Visit,Silk,Earth Tone,Bold,Indoor (AC),0.59,0
Gym/Workout,Polyester,Emerald Green,Bold,Indoor (AC),0.29,0
Corporate Meeting,Linen,Maroon,Bold,Outdoor (Humid),0.76,1
Corporate Meeting,Linen,Navy Blue,Professional,Outdoor (Humid),1.0,1
Beach Party,Silk,Maroon,Professional,Indoor (AC),0.63,0
Traditional Wedding,Cotton,White,Professional,Outdoor (Humid),0.6,0
Traditional Wedding,Polyester,Emerald Green,Professional,Outdoor (Humid),0.39,0
Dinner Gala,Linen,Black,Bold,Indoor (AC),0.16,0
Pola/Market,Linen,Earth Tone,Bold,Outdoor (Humid),0.88,1
Dinner Gala,Cotton,Navy Blue,Bold,Outdoor (Humid),0.66,0
Traditional Wedding,Polyester,Black,Professional,Indoor (AC),0.48,0
Corporate Meeting,Linen,Black,Bold,Outdoor (Humid),0.68,0
Corporate Meeting,Polyester,Earth Tone,Bold,Outdoor (Humid),0.25,0
Dinner Gala,Silk,White,Professional,Indoor (AC),0.88,1
Beach Party,Linen,White,Minimalist,Outdoor (Humid),0.84,1
Dinner Gala,Cotton,Maroon,Minimalist,Outdoor (Humid),0.52,0
Pola/Market,Silk,Emerald Green,Minimalist,Outdoor (Humid),0.41,0
Beach Party,Linen,Earth Tone,Minimalist,Indoor (AC),0.43,0
Dinner Gala,Linen,Maroon,Bold,Indoor (AC),0.4,0
Temple Visit,Georgette,Navy Blue,Professional,Indoor (AC),0.31,0
Beach Party,Polyester,Maroon,Professional,Indoor (AC),0.23,0
Gym/Workout,Georgette,Black,Bold,Outdoor (Humid),0.35,0
Dinner Gala,Cotton,Emerald Green,Minimalist,Outdoor (Humid),0.85,1
Beach Party,Georgette,White,Professional,Outdoor (Humid),0.46,0
Dinner Gala,Polyester,Emerald Green,Minimalist,Indoor (AC),0.45,0
Pola/Market,Silk,Earth Tone,Professional,Indoor (AC),0.36,0
Pola/Market,Linen,Emerald Green,Professional,Indoor (AC),0.37,0
Corporate Meeting,Silk,Black,Minimalist,Outdoor (Humid),0.39,0
Corporate Meeting,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.15,0
Beach Party,Linen,Maroon,Bold,Indoor (AC),0.25,0
Corporate Meeting,Georgette,Emerald Green,Bold,Indoor (AC),0.4,0
Temple Visit,Georgette,Earth Tone,Professional,Outdoor (Humid),0.27,0
Corporate Meeting,Polyester,Navy Blue,Bold,Indoor (AC),0.28,0
Corporate Meeting,Georgette,White,Professional,Outdoor (Humid),0.79,1
Dinner Gala,Silk,Maroon,Minimalist,Indoor (AC),0.79,1
Traditional Wedding,Viscose,Navy Blue,Bold,Outdoor (Humid),0.21,0
Beach Party,Cotton,Black,Minimalist,Indoor (AC),0.22,0
Corporate Meeting,Linen,Navy Blue,Professional,Outdoor (Humid),1.0,1
Traditional Wedding,Silk,White,Bold,Indoor (AC),0.78,1
Beach Party,Viscose,White,Bold,Outdoor (Humid),0.14,0
Dinner Gala,Viscose,Black,Professional,Outdoor (Humid),0.21,0
Temple Visit,Polyester,Emerald Green,Minimalist,Indoor (AC),0.46,0
Corporate Meeting,Georgette,Navy Blue,Professional,Indoor (AC),0.6,0
Corporate Meeting,Georgette,Black,Minimalist,Outdoor (Humid),0.48,0
Pola/Market,Linen,Navy Blue,Professional,Indoor (AC),0.27,0
Beach Party,Polyester,Emerald Green,Bold,Indoor (AC),0.35,0
Corporate Meeting,Cotton,Emerald Green,Bold,Indoor (AC),0.43,0
Corporate Meeting,Georgette,Maroon,Minimalist,Indoor (AC),0.28,0
Traditional Wedding,Cotton,Black,Professional,Indoor (AC),0.15,0
Traditional Wedding,Linen,Earth Tone,Professional,Outdoor (Humid),0.56,0
Pola/Market,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.12,0
Beach Party,Polyester,Black,Bold,Outdoor (Humid),0.36,0
Temple Visit,Cotton,White,Bold,Outdoor (Humid),0.64,0
Temple Visit,Linen,Navy Blue,Minimalist,Outdoor (Humid),0.82,1
Traditional Wedding,Linen,White,Bold,Outdoor (Humid),0.65,0
Corporate Meeting,Cotton,Maroon,Minimalist,Indoor (AC),0.5,0
Temple Visit,Polyester,Maroon,Bold,Indoor (AC),0.17,0
Dinner Gala,Linen,Navy Blue,Professional,Outdoor (Humid),0.58,0
Dinner Gala,Silk,White,Minimalist,Outdoor (Humid),0.75,1
Gym/Workout,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.49,0
Beach Party,Georgette,White,Professional,Indoor (AC),0.45,0
Beach Party,Georgette,Navy Blue,Minimalist,Indoor (AC),0.46,0
Temple Visit,Silk,Black,Minimalist,Indoor (AC),0.32,0
Dinner Gala,Georgette,Emerald Green,Professional,Outdoor (Humid),0.61,0
Dinner Gala,Linen,Earth Tone,Professional,Outdoor (Humid),0.77,1
Corporate Meeting,Linen,Black,Professional,Outdoor (Humid),1.0,1
Dinner Gala,Silk,White,Minimalist,Outdoor (Humid),0.71,0
Corporate Meeting,Linen,Black,Bold,Indoor (AC),0.23,0
Corporate Meeting,Viscose,White,Bold,Indoor (AC),0.49,0
Gym/Workout,Linen,Navy Blue,Professional,Outdoor (Humid),0.73,0
Corporate Meeting,Viscose,Black,Minimalist,Indoor (AC),0.44,0
Traditional Wedding,Viscose,Maroon,Professional,Indoor (AC),0.23,0
Temple Visit,Linen,White,Bold,Indoor (AC),0.12,0
Temple Visit,Linen,Earth Tone,Professional,Indoor (AC),0.33,0
Dinner Gala,Viscose,White,Professional,Indoor (AC),0.29,0
Temple Visit,Cotton,Black,Professional,Indoor (AC),0.12,0
Temple Visit,Georgette,Maroon,Minimalist,Outdoor (Humid),0.48,0
Corporate Meeting,Polyester,Navy Blue,Bold,Outdoor (Humid),0.25,0
Corporate Meeting,Cotton,Black,Professional,Indoor (AC),0.76,1
Traditional Wedding,Cotton,Earth Tone,Professional,Indoor (AC),0.16,0
Corporate Meeting,Linen,Maroon,Bold,Indoor (AC),0.27,0
Dinner Gala,Polyester,Earth Tone,Minimalist,Indoor (AC),0.21,0
Dinner Gala,Silk,Navy Blue,Minimalist,Indoor (AC),0.85,1
Dinner Gala,Polyester,Maroon,Professional,Indoor (AC),0.33,0
Dinner Gala,Georgette,Navy Blue,Bold,Indoor (AC),0.61,0
Temple Visit,Polyester,Earth Tone,Professional,Outdoor (Humid),0.22,0
Dinner Gala,Cotton,Navy Blue,Professional,Indoor (AC),0.47,0
